id,season,season_type,game_center_link
2010020252,20102011,2,/gamecenter/stl-vs-col/2010/11/15/2010020252
2010020253,20102011,2,/gamecenter/lak-vs-sjs/2010/11/15/2010020253
2010020254,20102011,2,/gamecenter/nsh-vs-tor/2010/11/16/2010020254
2010020255,20102011,2,/gamecenter/phi-vs-mtl/2010/11/16/2010020255
2010020256,20102011,2,/gamecenter/ana-vs-dal/2010/11/16/2010020256
2010020257,20102011,2,/gamecenter/tbl-vs-nyi/2010/11/17/2010020257
2010020258,20102011,2,/gamecenter/bos-vs-nyr/2010/11/17/2010020258
2010020259,20102011,2,/gamecenter/van-vs-pit/2010/11/17/2010020259
2010020260,20102011,2,/gamecenter/buf-vs-wsh/2010/11/17/2010020260
2010020261,20102011,2,/gamecenter/ott-vs-car/2010/11/17/2010020261
2010020262,20102011,2,/gamecenter/fla-vs-atl/2010/11/17/2010020262
2010020263,20102011,2,/gamecenter/stl-vs-det/2010/11/17/2010020263
2010020264,20102011,2,/gamecenter/ana-vs-min/2010/11/17/2010020264
2010020265,20102011,2,/gamecenter/sjs-vs-col/2010/11/17/2010020265
2010020266,20102011,2,/gamecenter/phx-vs-cgy/2010/11/17/2010020266
2010020267,20102011,2,/gamecenter/chi-vs-edm/2010/11/17/2010020267
2010020268,20102011,2,/gamecenter/cbj-vs-lak/2010/11/17/2010020268
2010020269,20102011,2,/gamecenter/fla-vs-bos/2010/11/18/2010020269
2010020270,20102011,2,/gamecenter/njd-vs-tor/2010/11/18/2010020270
2010020271,20102011,2,/gamecenter/tbl-vs-phi/2010/11/18/2010020271
2010020272,20102011,2,/gamecenter/nsh-vs-mtl/2010/11/18/2010020272
2010020273,20102011,2,/gamecenter/sjs-vs-dal/2010/11/18/2010020273
2010020274,20102011,2,/gamecenter/car-vs-pit/2010/11/19/2010020274
2010020275,20102011,2,/gamecenter/min-vs-det/2010/11/19/2010020275
2010020276,20102011,2,/gamecenter/lak-vs-buf/2010/11/19/2010020276
2010020277,20102011,2,/gamecenter/wsh-vs-atl/2010/11/19/2010020277
2010020278,20102011,2,/gamecenter/ott-vs-stl/2010/11/19/2010020278
2010020279,20102011,2,/gamecenter/nyr-vs-col/2010/11/19/2010020279
2010020281,20102011,2,/gamecenter/phx-vs-edm/2010/11/19/2010020281
2010020280,20102011,2,/gamecenter/chi-vs-cgy/2010/11/19/2010020280
2010020282,20102011,2,/gamecenter/cbj-vs-ana/2010/11/19/2010020282
2010020283,20102011,2,/gamecenter/lak-vs-bos/2010/11/20/2010020283
2010020284,20102011,2,/gamecenter/tbl-vs-buf/2010/11/20/2010020284
2010020285,20102011,2,/gamecenter/tor-vs-mtl/2010/11/20/2010020285
2010020286,20102011,2,/gamecenter/fla-vs-nyi/2010/11/20/2010020286
2010020287,20102011,2,/gamecenter/phi-vs-wsh/2010/11/20/2010020287
2010020288,20102011,2,/gamecenter/nsh-vs-car/2010/11/20/2010020288
2010020289,20102011,2,/gamecenter/njd-vs-stl/2010/11/20/2010020289
2010020290,20102011,2,/gamecenter/nyr-vs-min/2010/11/20/2010020290
2010020291,20102011,2,/gamecenter/col-vs-dal/2010/11/20/2010020291
2010020292,20102011,2,/gamecenter/chi-vs-van/2010/11/20/2010020292
2010020293,20102011,2,/gamecenter/cbj-vs-sjs/2010/11/20/2010020293
2010020294,20102011,2,/gamecenter/nyi-vs-atl/2010/11/21/2010020294
2010020295,20102011,2,/gamecenter/cgy-vs-det/2010/11/21/2010020295
2010020296,20102011,2,/gamecenter/edm-vs-ana/2010/11/21/2010020296
2010020297,20102011,2,/gamecenter/phx-vs-van/2010/11/21/2010020297
2010020298,20102011,2,/gamecenter/dal-vs-tor/2010/11/22/2010020298
2010020299,20102011,2,/gamecenter/wsh-vs-njd/2010/11/22/2010020299
2010020300,20102011,2,/gamecenter/cgy-vs-nyr/2010/11/22/2010020300
2010020301,20102011,2,/gamecenter/mtl-vs-phi/2010/11/22/2010020301
2010020302,20102011,2,/gamecenter/nsh-vs-cbj/2010/11/22/2010020302
